Sistema,Total Firmas
Quipux Ejecutivo,100901016
Quipux FFAA,10190132
Sine DINARDAP,808311
Ruter,646108
SRI generacion claves,470137
Quipux GAD NAPO,392245
Revit Defunciones,206228
Rurales,183751
Ministerio de Economía y Finanzas,165631
Casa Militar Presidencial,119606
Quipux GAD Municipal El Chaco,112146
Quipux GAD Municipal Pastaza,101404
Notificaciones BuzónEC,69527
Gestión Documental SCPM,60789
Dirección Nacional de Registros Públicos,46298
Regulación y Control Ambiental | Sistema de Administración Forestal- MAATE,26838
Quipux GAD Provincial Chimborazo,24462
Sistema de información integral - CGRE Galápagos,20441
Quipux Congope,17252
SECAP Sistema Integrado,17247
Viajes al exterior,16175
Quipux AustroGas,12985
Sistema de Administración de Bienes Inmuebles,12583
Deporte POA,8602
Gestión Documental SOT,4256
MTOP Legalización de Importaciones,1663
"Ministerio del Ambiente, Agua y Transición Ecológica",1157
Quipux Ejecutivo - FirmaEC Transversal,1027
MAG Sistema de Firmas Centralizadas,113
Comité de Ética,58
Sistema de trámites ciudadanos INPC,52
Gestión Vacaciones CELEC,38
PostalesEC,15
Gob.EC,13
Universidad Nacional de Loja,10
AUTFAPN,7
EvaluaEC,6
Quipux GAD Provincial Sucumbios,1